=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  1265M lines, 4671818 records, 4529 matched, 177535 lines/sec (118.8 min)
  1270M lines, 4736103 records, 4541 matched, 176001 lines/sec (120.3 min)
  1275M lines, 4778239 records, 4553 matched, 175106 lines/sec (121.4 min)
  1280M lines, 4836384 records, 4555 matched, 174155 lines/sec (122.5 min)
  1285M lines, 4980447 records, 4569 matched, 90716 lines/sec (236.1 min)
  1290M lines, 5085616 records, 4581 matched, 90255 lines/sec (238.2 min)
  1295M lines, 5194023 records, 4594 matched, 90109 lines/sec (239.5 min)
  1300M lines, 5243750 records, 4595 matched, 90354 lines/sec (239.8 min)
  1305M lines, 5319770 records, 4698 matched, 90238 lines/sec (241.0 min)
  1310M lines, 5346579 records, 4707 matched, 90316 lines/sec (241.7 min)
  1315M lines, 5361098 records, 4732 matched, 90471 lines/sec (242.3 min)
  1320M lines, 5447440 records, 4801 matched, 90193 lines/sec (243.9 min)
  1325M lines, 5599994 records, 4808 matched, 89056 lines/sec (248.0 min)
  1330M lines, 5651960 records, 4834 matched, 88989 lines/sec (249.1 min)
  1335M lines, 5677505 records, 4860 matched, 89070 lines/sec (249.8 min)
  1340M lines, 5697786 records, 4872 matched, 89139 lines/sec (250.5 min)
  1345M lines, 5718799 records, 4880 matched, 89172 lines/sec (251.4 min)
  1350M lines, 5733199 records, 4903 matched, 89214 lines/sec (252.2 min)
  1355M lines, 5743175 records, 4907 matched, 89361 lines/sec (252.7 min)
  1360M lines, 5751195 records, 4907 matched, 89512 lines/sec (253.2 min)
  1365M lines, 5775613 records, 4908 matched, 89461 lines/sec (254.3 min)
  1370M lines, 5855138 records, 4975 matched, 89014 lines/sec (256.5 min)
  1375M lines, 6000903 records, 4994 matched, 88209 lines/sec (259.8 min)
  5000 records matched, 6039145 records scanned (260.8 min)
  1380M lines, 6150285 records, 5052 matched, 87804 lines/sec (261.9 min)
  1385M lines, 6197139 records, 5057 matched, 87499 lines/sec (263.8 min)
  1390M lines, 6211106 records, 5063 matched, 87624 lines/sec (264.4 min)
  1395M lines, 6222290 records, 5070 matched, 87791 lines/sec (264.8 min)
  1400M lines, 6233086 records, 5074 matched, 87941 lines/sec (265.3 min)
  1405M lines, 6244892 records, 5078 matched, 88085 lines/sec (265.8 min)
  1410M lines, 6257778 records, 5092 matched, 88213 lines/sec (266.4 min)
  1415M lines, 6270612 records, 5117 matched, 88316 lines/sec (267.0 min)
  1420M lines, 6283846 records, 5128 matched, 88402 lines/sec (267.7 min)
  1425M lines, 6295951 records, 5134 matched, 88473 lines/sec (268.4 min)
  1430M lines, 6333989 records, 5163 matched, 87922 lines/sec (271.1 min)
  1435M lines, 6372466 records, 5227 matched, 87421 lines/sec (273.6 min)
  1440M lines, 6400083 records, 5319 matched, 87207 lines/sec (275.2 min)
  1445M lines, 6412001 records, 5323 matched, 87151 lines/sec (276.3 min)
  1450M lines, 6431167 records, 5340 matched, 86999 lines/sec (277.8 min)
  1455M lines, 6452275 records, 5349 matched, 86951 lines/sec (278.9 min)
